		time				value
           2.7169281e-10                   8.0492908e-05
            2.720883e-10                   7.5772441e-05
           2.7248376e-10                    7.131532e-05
           2.7287922e-10                   6.7107423e-05
           2.7327471e-10                   6.3135616e-05
            2.736702e-10                   5.9387177e-05
           2.7406566e-10                   5.5850727e-05
           2.7446115e-10                    5.251473e-05
           2.7485661e-10                   4.9368464e-05
            2.752521e-10                   4.6401547e-05
           2.7564756e-10                   4.3604694e-05
           2.7604305e-10                   4.0968509e-05
           2.7643854e-10                   3.8484108e-05
             2.76834e-10                   3.6143538e-05
           2.7722949e-10                   3.3938762e-05
           2.7762495e-10                   3.1862332e-05
           2.7802044e-10                    2.990704e-05
            2.784159e-10                   2.8066435e-05
           2.7881139e-10                   2.6334024e-05
           2.7920688e-10                   2.4703673e-05
           2.7960234e-10                   2.3169881e-05
           2.7999783e-10                   2.1727124e-05
           2.8039329e-10                   2.0370271e-05
           2.8078878e-10                   1.9094387e-05
           2.8118424e-10                   1.7895038e-05
           2.8157973e-10                   1.6767783e-05
           2.8197522e-10                   1.5708438e-05
           2.8237068e-10                    1.471324e-05
           2.8276617e-10                   1.3778432e-05
           2.8316163e-10                   1.2900527e-05
           2.8355712e-10                   1.2076174e-05
           2.8395258e-10                   1.1302364e-05
           2.8434807e-10                   1.0576096e-05
           2.8474353e-10                   9.8945866e-06
           2.8513902e-10                   9.2551645e-06
           2.8553451e-10                    8.655431e-06
           2.8592997e-10                   8.0929976e-06
           2.8632546e-10                   7.5656171e-06
           2.8672092e-10                    7.071269e-06
           2.8711641e-10                   6.6079465e-06
           2.8751188e-10                   6.1737896e-06
           2.8790736e-10                   5.7670186e-06
           2.8830285e-10                   5.3860322e-06
           2.8869832e-10                   5.0292442e-06
            2.890938e-10                   4.6951632e-06
           2.8948927e-10                   4.3824475e-06
           2.8988476e-10                   4.0897708e-06
           2.9028022e-10                   3.8159028e-06
           2.9067571e-10                   3.5596711e-06
           2.9107119e-10                   3.3200188e-06
           2.9146666e-10                   3.0959031e-06
           2.9186215e-10                   2.8863458e-06
           2.9225761e-10                   2.6904659e-06
            2.926531e-10                    2.507395e-06
           2.9304856e-10                     2.33633e-06
           2.9344405e-10                   2.1765054e-06
           2.9383954e-10                   2.0272321e-06
             2.94235e-10                    1.887832e-06
           2.9463049e-10                   1.7576701e-06
           2.9502595e-10                   1.6361743e-06
           2.9542144e-10                   1.5227826e-06
            2.958169e-10                   1.4169756e-06
           2.9621239e-10                   1.3182596e-06

